Babies' first forenames: births registered in Scotland in 1980,,,,,,
,,,,,,
Information about the basis of the list can be found via the 'Babies' First Names' page on the National Records of Scotland website. ,,,,,,
,,,,,,
Boys,,,,Girls,,
,,,,,,
Position,Name,Number of babies,,Position,Name,Number of babies
1,David,1988,,1,Laura,1023
2,John,1478,,2,Claire,852
3,Andrew,1293,,3,Lisa,741
4,James,1194,,4,Nicola,737
5,Christopher,1071,,5,Louise,707
6,Paul,1045,,6,Karen,653
7,Steven,954,,7,Fiona,615
8,Kevin,825,,8,Jennifer,612
9=,Robert,813,,9,Michelle,609
9=,Scott,813,,10,Emma,548
11,Craig,805,,11,Sarah,545
12,Michael,775,,12,Gillian,531
13,Mark,738,,13,Kelly,467
14,Stuart,700,,14,Susan,459
15,Stephen,693,,15,Angela,454
16,Alan,664,,16,Donna,429
17,William,601,,17,Kirsty,390
18,Gary,559,,18,Julie,386
19,Ross,545,,19,Pamela,376
20,Colin,542,,20,Joanne,350
21,Brian,479,,21,Caroline,339
22,Barry,471,,22,Amanda,316
23,Richard,464,,23,Tracy,310
24,Martin,458,,24,Sharon,305
25,Thomas,450,,25,Lynne,298
26,Neil,425,,26,Elaine,294
27,Peter,394,,27,Deborah,293
28,Iain,374,,28,Jacqueline,288
29,Graeme,368,,29,Alison,286
30,Ian,361,,30,Lynsey,283
31,Gordon,359,,31,Victoria,280
32,Alexander,351,,32,Kerry,277
33,Ryan,336,,33,Leanne,273
34,Derek,335,,34,Lorraine,258
35,Kenneth,319,,35,Lesley,249
36,Allan,286,,36,Elizabeth,247
37,Jamie,279,,37,Lorna,238
38,Graham,277,,38,Catherine,224
39,Gavin,271,,39,Lynn,209
40,Darren,270,,40,Suzanne,208
41,Stewart,231,,41,Heather,193
42,Gareth,222,,42=,Helen,187
43,Jonathan,214,,42=,Lindsay,187
44,Daniel,207,,42=,Margaret,187
45,Douglas,203,,45,Clare,185
46,Grant,199,,46=,Cheryl,182
47,Lee,196,,46=,Debbie,182
48,George,189,,48,Pauline,175
49,Joseph,176,,49,Dawn,174
50,Simon,172,,50,Carol,167
51,Matthew,170,,51,Mary,159
52,Keith,166,,52,Natalie,156
53,Anthony,163,,53,Linda,154
54,Fraser,159,,54,Jane,151
55,Garry,152,,55=,Diane,150
56,Alistair,142,,55=,Stacey,150
57,Bryan,133,,57,Carrie,149
58,Philip,128,,58,Yvonne,144
59,Adam,125,,59,Rebecca,143
60,Sean,124,,60,Christine,142
61,Duncan,119,,61,Marie,138
62,Edward,113,,62,Charlene,134
63,Charles,109,,63,Rachel,133
64,Ewan,108,,64,Anne,131
65,Russell,105,,65,Tracey,130
66,Donald,104,,66=,Jill,121
67,Patrick,103,,66=,Samantha,121
68=,Alastair,101,,68,Ashley,120
68=,Euan,101,,69,Paula,119
70=,Jason,99,,70,Joanna,118
70=,Nicholas,99,,71,Stephanie,112
72,Marc,96,,72=,Andrea,111
73,Raymond,95,,72=,Shona,111
74,Malcolm,88,,74,Denise,109
75,Greig,87,,75=,Anna,107
76,Alasdair,85,,75=,Hazel,107
77=,Greg,80,,77,Katrina,105
77=,Liam,80,,78,Ruth,102
79,Shaun,75,,79,Gayle,100
80,Francis,69,,80=,Lee,97
81,Ronald,65,,80=,Sara,97
82=,Benjamin,60,,82,Catriona,96
82=,Cameron,60,,83=,Kathryn,94
82=,Dean,60,,83=,Leigh,94
85,Niall,57,,83=,Mhairi,94
86,Gerard,56,,86,Wendy,93
87=,Murray,54,,87,Amy,92
87=,Robin,54,,88,Jillian,89
87=,Timothy,54,,89,Katherine,88
90=,Bruce,53,,90,Gail,87
90=,Hugh,53,,91,Linsey,84
92,Calum,52,,92,Christina,83
93=,Kris,51,,93=,Lucy,82
93=,Wayne,51,,93=,Melanie,82
95=,Roderick,50,,95,Sandra,79
95=,Samuel,50,,96=,Ann,78
97,Martyn,45,,96=,Kathleen,78
98=,Angus,43,,98,Shelley,77
98=,Gregor,43,,99,Kirsten,76
100=,Jon,40,,100=,Kim,75
100=,Rory,40,,100=,Lyndsey,75
102=,Callum,39,,102,Lauren,73
102=,Dale,39,,103=,Patricia,70
102=,Lewis,39,,103=,Vicki,70
105,Antony,37,,105=,Aileen,68
106,Aaron,35,,105=,Lyndsay,68
107=,Barrie,34,,107=,Gemma,67
107=,Jordan,34,,107=,Vicky,67
109=,Blair,33,,109=,Arlene,66
