name,F,M,source
A-Jay,0,8,ni
A-Si,2,0,ni
A-jay,0,4,ni
AJ,0,4,ni
Aaban,0,2,ni
Aabel,0,2,ni
Aaden,0,2,ni
Aadhithya,0,2,ni
Aadhya,6,0,ni
Aadi,0,4,ni
Aadil,0,2,ni
Aadit,0,2,ni
Aadita,2,0,ni
Aaditri,2,0,ni
Aaditya,0,4,ni
Aadriyan,0,2,ni
Aafreen,2,0,ni
Aahaan,0,2,ni
Aahad,0,2,ni
Aailyah,2,0,ni
Aaiyana,2,0,ni
Aakanksh,0,2,ni
Aakash,0,2,ni
Aalaiya,2,0,ni
Aaleigha,2,0,ni
Aaleyah,2,0,ni
Aalia,4,0,ni
Aaliayah,4,0,ni
Aaliya,6,0,ni
Aaliyaa,2,0,ni
Aaliyah,143,0,ni
Aaliyah-Rose,4,0,ni
Aaliyah-mae,2,0,ni
Aaliyah-rose,2,0,ni
Aalok,0,2,ni
Aalya,2,0,ni
Aalyiah,2,0,ni
Aalyssa,2,0,ni
Aambal,2,0,ni
Aamer,0,2,ni
Aamira,2,0,ni
Aamna,2,0,ni
Aanika,2,0,ni
Aanisah,2,0,ni
Aaniya,2,0,ni
Aanshi,2,0,ni
Aanya,2,0,ni
Aaradhya,2,0,ni
Aaralyn,2,0,ni
Aaran,0,10,ni
Aarav,0,13,ni
Aaren,0,2,ni
Aaria,2,0,ni
Aarifah,2,0,ni
Aarin,0,4,ni
Aariyah,2,0,ni
Aariz,0,2,ni
Aarna,2,0,ni
Aarne,0,2,ni
Aarohi,2,0,ni
Aaron,0,2683,ni
Aaron-James,0,2,ni
Aaron-Jay,0,2,ni
Aaron-John,0,2,ni
Aaron-Junior,0,2,ni
Aaron-Lee,0,2,ni
Aaron-jay,0,2,ni
Aaron-jordan,0,2,ni
Aaron-lee,0,2,ni
Aaronn,0,2,ni
Aarron,0,10,ni
Aarti,2,0,ni
Aarush,0,2,ni
Aarya,2,0,ni
Aaryan,0,6,ni
Aaryn,0,8,ni
Aaryn-Jack,0,2,ni
Aashi,2,0,ni
Aashish,0,2,ni
Aashna,2,0,ni
Aashni,2,0,ni
Aashritha,2,0,ni
Aasma,2,0,ni
Aastha,2,0,ni
Aayan,0,4,ni
Aayansh,0,2,ni
Aayeesha,2,0,ni
Aaysha,2,0,ni
Aayush,0,6,ni
Aayushmaan,0,2,ni
Abaco-lily,2,0,ni
Abagail,8,0,ni
Abagaile,2,0,ni
Abageal,2,0,ni
Abai,2,0,ni
Abaigael,4,0,ni
Abaigeal,18,0,ni
Abaigh,36,0,ni
Aban,0,2,ni
Abana-efia,2,0,ni
Abbagael,2,0,ni
Abbagail,2,0,ni
Abban,0,2,ni
Abbas,0,2,ni
Abbey,98,2,ni
Abbey-Lei,2,0,ni
Abbey-Leigh,2,0,ni
Abbey-gale,2,0,ni
Abbey-rose,2,0,ni
Abbi,84,0,ni
Abbi-Louise,2,0,ni
Abbia,2,0,ni
Abbiagh,2,0,ni
Abbie,1067,0,ni
Abbie-Gayle,2,0,ni
Abbie-Grace,2,0,ni
Abbie-Jane,2,0,ni
Abbie-Lea,2,0,ni
Abbie-Lee,11,0,ni
Abbie-Leigh,12,0,ni
Abbie-Louise,10,0,ni
Abbie-Mae,2,0,ni
Abbie-Marie,2,0,ni
Abbie-Raya,2,0,ni
Abbie-Rose,5,0,ni
Abbie-leigh,2,0,ni
Abbie-may,2,0,ni
Abbiegail,4,0,ni
Abbielee,2,0,ni
Abbiemarie,2,0,ni
Abbierose,2,0,ni
Abbigail,24,0,ni
Abbigail-kate,2,0,ni
Abbigale,2,0,ni
Abbigayle,2,0,ni
Abbrihanna,2,0,ni
Abby,250,0,ni
Abby-Shirelle,2,0,ni
Abbygail,4,0,ni
Abbyrose,2,0,ni
Abd,0,4,ni
Abd-El-rahmen,0,2,ni
Abdaljabbar,0,2,ni
Abdallah,0,5,ni
Abdalrhman,0,2,ni
Abdel-Malek,0,2,ni
Abdelghani,0,4,ni
Abdelkareem,0,2,ni
Abdellah,0,2,ni
Abdelmageed,0,2,ni
Abdelrahim,0,2,ni
Abdelrahman,0,2,ni
Abderahman,0,2,ni
Abdiaziz,0,2,ni
Abdihakim,0,2,ni
Abdikhadir,0,2,ni
Abdimahad,0,2,ni
Abdirabi,0,2,ni
Abdirahman,0,2,ni
Abdishakur,0,2,ni
Abdoullaye,0,2,ni
Abdul,0,20,ni
Abdul-Jamal,0,2,ni
Abdul-Rahman,0,2,ni
Abdul-rahman,0,2,ni
Abdulallah,0,2,ni
Abdulazeem,0,2,ni
Abdulaziz,0,2,ni
Abdulhameed,0,2,ni
Abdulla,0,6,ni
Abdullah,0,30,ni
Abdullahi,0,2,ni
Abdulmajeed,0,2,ni
Abdulmajid,0,2,ni
Abdulmoez,0,2,ni
Abdulmumin,0,2,ni
Abdulqani,0,2,ni
Abdulrahman,0,4,ni
Abdulrauf,0,2,ni
Abdulrhman,0,2,ni
Abdur,0,4,ni
Abduraheem,0,2,ni
Abdurahmon,0,2,ni
Abdurrahman,0,6,ni
Abdurrhman,0,2,ni
Abe,0,4,ni
Abed,0,2,ni
Abeeha,2,0,ni
Abegail,2,0,ni
Abel,0,43,ni
Abella,4,0,ni
Abena,2,0,ni
Abeni,2,0,ni
Abernathy,2,0,ni
Abery,2,0,ni
Abgeena,2,0,ni
Abha,6,0,ni
Abhainn,2,0,ni
Abhaya,2,0,ni
Abhijot,0,2,ni
Abhinandan,0,2,ni
Abhipri,2,0,ni
Abhiram,0,4,ni
Abhirami,2,0,ni
Abhyudaya,0,2,ni
Abi,181,0,ni
Abi-Gail,2,0,ni
Abi-Grace,2,0,ni
Abi-Lee,6,0,ni
Abi-Leigh,4,0,ni
Abi-Louise,2,0,ni
Abi-Mae,2,0,ni
Abi-Nicole,2,0,ni
Abi-Rose,4,0,ni
Abi-jane,2,0,ni
Abi-jo,2,0,ni
Abi-scarlett,2,0,ni
Abia,2,0,ni
Abiagael,2,0,ni
Abiageal,8,0,ni
Abiah,2,0,ni
Abie,2,0,ni
Abie-Jade,2,0,ni
Abigael,18,0,ni
Abigail,1111,0,ni
Abigail-Faith,2,0,ni
Abigail-Robin,2,0,ni
Abigail-Shavanna,2,0,ni
Abigaile,6,0,ni
Abigale,10,0,ni
Abigayl,2,0,ni
Abigayle,12,0,ni
Abigeal,6,0,ni
Abigel,4,0,ni
Abimbola,0,2,ni
Abiodun,2,0,ni
Abiona,0,2,ni
Abir,0,4,ni
Abiya,2,0,ni
Abony,2,0,ni
Abraham,0,17,ni
Abraheim,0,2,ni
Abram,0,2,ni
Abrar,2,0,ni
Abrianna,2,0,ni
Abu,0,6,ni
Abudllah,0,2,ni
Aby,0,2,ni
Abygail,6,0,ni
Acacia,14,0,ni
Ace,0,8,ni
Achaleke,0,2,ni
Achazia,2,0,ni
Acheron,0,2,ni
Achiera,2,0,ni
Achsah,2,0,ni
Acia,2,0,ni
Acqulin,2,0,ni
Ada,37,0,ni
Ada-Grace,2,0,ni
Ada-marie,2,0,ni
Ada-rose,2,0,ni
Adabelle,2,0,ni
Adah,4,0,ni
Adaiah,2,0,ni
Adalyn,2,0,ni
Adalyna,2,0,ni
Adalynn,4,0,ni
Adalynne,2,0,ni
Adam,2,4204,ni
Adam-Corbin,0,2,ni
Adam-Jackson,0,2,ni
Adam-James,0,2,ni
Adam-Wray,0,2,ni
Adamas,0,2,ni
Adamh,0,2,ni
Adamnan,0,2,ni
Adan,0,2,ni
Adara,8,0,ni
Adarsh,0,2,ni
Adas,0,12,ni
Adbul,0,2,ni
Adda,2,0,ni
Addam,0,4,ni
Addheen,0,2,ni
Addi,2,2,ni
Addia,4,0,ni
Addie,8,0,ni
Addilyn,2,0,ni
Addis,0,2,ni
Addison,36,15,ni
Addison-Alexis,2,0,ni
Addison-J,2,0,ni
Addison-lily,2,0,ni
Addisyn,8,0,ni
Addyson,4,0,ni
Adebambo,2,0,ni
Adebobola,0,2,ni
Adedamola,0,2,ni
Adedipupo,0,2,ni
Adedolapo,2,0,ni
Adee,0,4,ni
Adeena,2,0,ni
Adeina,2,0,ni
Adejumoke,2,0,ni
Adel,8,2,ni
Adela,10,0,ni
Adelaide,8,0,ni
Adelaina,2,0,ni
Adele,67,0,ni
Adeleine,2,0,ni
Adelina,4,0,ni
Adeline,6,0,ni
Adelle,8,0,ni
Adelola,2,0,ni
Adelyn,2,0,ni
Adelynne,2,0,ni
Adem,0,10,ni
Ademide,0,2,ni
Aden,0,12,ni
Aderyn,2,0,ni
Adesola,0,2,ni
Adeteniola,2,0,ni
Adetokunboh,0,2,ni
Adewale,0,2,ni
Adham,0,6,ni
Adhamh,0,16,ni
Adhamhnan,0,2,ni
Adharv,0,2,ni
Adheena,2,0,ni
Adhinath,0,2,ni
Adhran,0,2,ni
Adhvik,0,2,ni
Adi,2,2,ni
Adia,4,0,ni
Adiah,2,0,ni
Adian,0,2,ni
Adie,2,0,ni
Adiel,0,2,ni
Adil,0,10,ni
Adin,0,2,ni
Adina,8,0,ni
Adinath,0,2,ni
Adit,0,2,ni
Adithya,0,2,ni
Aditi,6,0,ni
Aditri,2,0,ni
Aditya,0,8,ni
Adiyan,0,2,ni
Adlanta,2,0,ni
Adley,0,6,ni
Admira,2,0,ni
Adnan,0,6,ni
Adney,2,0,ni
Adomas,0,10,ni
Adon,0,4,ni
Adonia,4,0,ni
Adonna,2,0,ni
Adora,2,0,ni
Adorna,2,0,ni
Adrea,0,2,ni
Adria,8,0,ni
Adrian,0,150,ni
Adriana,21,0,ni
Adrianas,0,6,ni
Adrianna,44,0,ni
Adrianne,8,0,ni
Adriano,0,2,ni
Adrians,0,10,ni
Adriel,2,4,ni
Adrien,2,0,ni
Adrienne,14,0,ni
Adrija,10,0,ni
Adrijana,4,0,ni
Adrijanas,0,2,ni
Adrijus,0,6,ni
Adrika,2,0,ni
Adrina,4,0,ni
Adrita,2,0,ni
Advait,0,2,ni
Advay,0,2,ni
Adyson,2,2,ni
Aebel,0,4,ni
Aebh,2,0,ni
Aebha,6,0,ni
Aebhla,2,0,ni
Aed,0,2,ni
Aedammair,2,0,ni
Aedan,0,53,ni
Aedh,0,2,ni
Aedhaghan,0,2,ni
Aedhan,0,2,ni
Aedin,10,0,ni
Aedyn,0,4,ni
Aela,18,0,ni
Aelilah,2,0,ni
Aelisha,2,0,ni
Aelita,2,0,ni
Aemilia,2,0,ni
Aeneas,0,2,ni
Aengus,0,6,ni
Aeniose,2,0,ni
Aeona,2,0,ni
Aerhyll,2,0,ni
Aerin,6,0,ni
Aerinne,2,0,ni
Aeris,2,0,ni
Aerith,2,0,ni
Aeron,2,4,ni
Aerona,2,0,ni
Aeryn,16,0,ni
Aeryn-Rose,2,0,ni
Aerys,0,2,ni
Aesha,2,0,ni
Aeva,4,0,ni
Aeyla,2,0,ni
Afa,2,0,ni
Afaf,2,0,ni
Afayah,2,0,ni
Affan,0,4,ni
Affraic,2,0,ni
Afia,6,0,ni
Afiadh,2,0,ni
Afiya,2,0,ni
Afnan,2,0,ni
Afonso,0,10,ni
Afrah,2,0,ni
Afreen,2,0,ni
Africa,2,0,ni
Afsana,2,0,ni
Afton,4,0,ni
Agam,0,2,ni
Agata,17,0,ni
Agatha,6,0,ni
Agathe,2,0,ni
Aghna,2,0,ni
Agne,7,0,ni
Agnes,18,0,ni
Agnese,2,0,ni
Agnia,2,0,ni
Agnieszka,4,0,ni
Agota,2,0,ni
Agotha,2,0,ni
Agrejsa,2,0,ni
Ahab,0,4,ni
Aharon,0,4,ni
Aharshi,0,2,ni
Ahead,0,2,ni
Ahlam,4,0,ni
Ahlana,2,0,ni
Ahleah,2,0,ni
Ahlem,2,0,ni
Ahmad,0,13,ni
Ahmed,0,44,ni
Ahna,2,0,ni
Ahnas,0,2,ni
Ahsan,0,2,ni
Ahyan,0,4,ni
Ai,4,0,ni
Aian,0,2,ni
Aiasha,4,0,ni
Aibel,0,2,ni
Aibh,2,0,ni
Aibha,6,0,ni
Aibhailia,2,0,ni
Aibhe,6,0,ni
Aibheen,2,0,ni
Aibhen,0,2,ni
Aibhilin,12,0,ni
Aibhin,2,0,ni
Aibhle,2,0,ni
Aibhlin,4,0,ni
Aibhlinn,22,0,ni
Aibhlinn-rose,2,0,ni
Aibhne,4,2,ni
Aibhrean,2,0,ni
Aibrean,8,0,ni
Aibreann,4,0,ni
Aicha,6,0,ni
Aida,13,0,ni
Aida-Mae,2,0,ni
Aidan,0,1016,ni
Aidan-Lee,0,2,ni
Aidanas,0,4,ni
Aidaras,0,2,ni
Aidas,0,6,ni
Aideen,95,0,ni
Aiden,0,143,ni
Aiden-John,0,2,ni
Aiden-caius,0,2,ni
Aiden-john,0,2,ni
Aidin,2,0,ni
Aidon,0,2,ni
Aidyn,0,2,ni
Aiesha,16,0,ni
Aife,26,0,ni
Aifric,6,0,ni
Aiham,0,2,ni
Aika,2,0,ni
Aila,6,0,ni
Ailana,2,0,ni
Ailbe,3,12,ni
Ailbhe,37,6,ni
Ailea,2,0,ni
Aileana,2,0,ni
Aileen,52,0,ni
Ailene,2,0,ni
Ailey,4,0,ni
Ailfi,0,2,ni
Ailia,4,0,ni
Ailidh,6,0,ni
Ailie,12,0,ni
Ailill,0,8,ni
Ailin,0,2,ni
Ailis,33,0,ni
Ailisa,4,0,ni
Ailise,22,0,ni
Ailish,38,0,ni
Ailisha,10,0,ni
Aille,6,0,ni
Aillinn,2,0,ni
Ailsa,33,0,ni
Ailse,2,0,ni
Ailsise,4,0,ni
Aiman,0,4,ni
Aime,23,0,ni
Aime-Leigh,2,0,ni
Aimeasha,2,0,ni
Aimee,1941,0,ni
Aimee-Jayne,2,0,ni
Aimee-Jean,6,0,ni
Aimee-Jo,4,0,ni
Aimee-Kate,2,0,ni
Aimee-Le,2,0,ni
Aimee-Lea,2,0,ni
Aimee-Lee,26,0,ni
Aimee-Leigh,35,0,ni
Aimee-Louise,22,0,ni
Aimee-Marie,2,0,ni
Aimee-May,2,0,ni
Aimee-Rae,2,0,ni
Aimee-Rose,8,0,ni
Aimee-kate,2,0,ni
Aimee-lee,5,0,ni
Aimee-leigh,5,0,ni
Aimee-louise,2,0,ni
Aimee-rose,7,0,ni
Aimeelee,6,0,ni
Aimelee,2,0,ni
Aimen,2,0,ni
Aimes,2,0,ni
Aimhirgin,0,2,ni
Aimi,4,0,ni
Aimie,18,0,ni
Aimie-Lee,2,0,ni
Aimie-Louise,2,0,ni
Aimiee,2,0,ni
Aimmie,2,0,ni
Aimon,0,2,ni
Aimse,4,0,ni
Aimuavbosa,0,2,ni
Aimy,2,0,ni
Ain,4,0,ni
Aina,2,0,ni
Ainara,4,0,ni
Ainaras,0,2,ni
Ainardas,0,2,ni
Aindriu,0,2,ni
Aine,810,0,ni
Aine-Louise,6,0,ni
Aine-Marie,4,0,ni
Aine-May,2,0,ni
Aine-Rose,2,0,ni
Aingeal,4,0,ni
Aingeal-rose,2,0,ni
Aingeall,2,0,ni
Ainhoa,2,0,ni
Ainius,0,2,ni
Ainle,0,6,ni
Ainnir,2,0,ni
Ainoras,0,2,ni
Ainsley,10,4,ni
Ainslie,2,0,ni
Aiobh,8,0,ni
Aiobha,2,0,ni
Aiobhan,2,0,ni
Aiobhann,2,0,ni
Aiobhe,4,0,ni
Aiobhean,2,0,ni
Aiobheann,15,0,ni
Aiobhin,4,0,ni
Aiobhinn,4,0,ni
Aiodhan,0,2,ni
Aiofe,10,0,ni
Aiofen,0,2,ni
Aionagh,2,0,ni
Aiotha,2,0,ni
Aira,4,0,ni
Airanas,0,2,ni
Aireann,2,0,ni
Airidas,0,12,ni
Airiesha,2,0,ni
Airin,2,0,ni
Airina,6,0,ni
Airiz,0,2,ni
Aironas,0,19,ni
Aisha,51,0,ni
Aishah,10,0,ni
Aishea,2,0,ni
Aishleann,2,0,ni
Aishleen,2,0,ni
Aishlin,4,0,ni
Aishling,25,0,ni
Aishlinn,13,0,ni
Aishlyn,2,0,ni
Aishwarya,2,0,ni
Aisleen,16,0,ni
Aisleigh,2,0,ni
Aislene,2,0,ni
Aisleyne,2,0,ni
Aislin,15,0,ni
Aisling,387,0,ni
Aislingmarie,2,0,ni
Aislinn,131,0,ni
Aislinn-Mae,2,0,ni
Aislinn-Rose,2,0,ni
Aislinng,2,0,ni
Aislyn,2,0,ni
Aissatu,2,0,ni
Aiste,10,0,ni
Aistis,0,2,ni
Aisyah,2,0,ni
Aitana,2,0,ni
Aithin,0,2,ni
Aiva,8,0,ni
Aivah,2,0,ni
Aivanna,2,0,ni
Aivaras,0,3,ni
Aivars,0,2,ni
Aiveen,14,0,ni
Aivinas,0,2,ni
Aivis,0,2,ni
Aiyana,12,0,ni
