Babies' first forenames: births registered in Scotland in 1974,,,,,,
,,,,,,
Information about the basis of the list can be found via the 'Babies' First Names' page on the National Records of Scotland website.,,,,,,
,,,,,,
Boys,,,,Girls,,
,,,,,,
Position,Name,Number of babies,,Position,Name,Number of babies
1,David,1794,,1,Nicola,935
2,John,1528,,2,Karen,825
3,Paul,1260,,3,Fiona,793
4,Mark,1234,,4,Susan,763
5,James,1202,,5,Claire,727
6,Andrew,1067,,6,Sharon,720
7,Scott,1060,,7,Angela,660
8,Steven,1020,,8,Gillian,577
9,Robert,885,,9,Julie,576
10,Stephen,866,,10,Michelle,531
11,William,777,,11,Jacqueline,505
12,Craig,749,,12,Amanda,502
13,Michael,735,,13,Tracy,498
14,Stuart,710,,14,Louise,491
15,Christopher,702,,15,Jennifer,470
16,Alan,685,,16,Alison,453
17,Colin,634,,17,Sarah,402
18,Brian,623,,18,Donna,398
19,Kevin,598,,19,Caroline,396
20,Gary,570,,20,Elaine,390
21,Richard,558,,21,Lynn,376
22,Derek,500,,22,Margaret,375
23,Martin,473,,23,Elizabeth,346
24,Thomas,458,,24,Lesley,341
25,Neil,446,,25,Deborah,340
26,Barry,427,,26,Pauline,338
27,Ian,421,,27,Lorraine,336
28,Jason,389,,28,Laura,335
29,Iain,386,,29=,Lisa,334
30,Gordon,369,,29=,Tracey,334
31,Alexander,359,,31,Carol,319
32,Graeme,354,,32,Linda,316
33,Peter,353,,33,Lorna,314
34,Darren,333,,34,Catherine,298
35,Graham,325,,35,Wendy,290
36=,George,302,,36=,Lynne,284
36=,Kenneth,302,,36=,Yvonne,284
38,Allan,284,,38,Pamela,282
39,Simon,281,,39,Kirsty,281
40,Douglas,225,,40,Jane,274
41,Keith,223,,41,Emma,264
42,Lee,209,,42,Joanne,262
43,Anthony,204,,43=,Heather,253
44=,Grant,187,,43=,Suzanne,253
44=,Ross,187,,45,Anne,238
46,Jonathan,184,,46,Diane,229
47,Gavin,179,,47,Helen,219
48,Nicholas,173,,48,Victoria,215
49,Joseph,172,,49,Dawn,210
50,Stewart,171,,50=,Mary,200
51,Daniel,169,,50=,Samantha,200
52,Edward,160,,52,Marie,190
53,Matthew,151,,53,Kerry,187
54,Donald,146,,54,Ann,180
55,Fraser,140,,55,Hazel,178
56,Garry,139,,56,Christine,175
57,Malcolm,137,,57,Gail,169
58,Charles,131,,58,Andrea,158
59,Duncan,130,,59,Clare,157
60,Alistair,128,,60,Sandra,150
61,Raymond,120,,61,Shona,148
62,Philip,112,,62,Kathleen,143
63,Ronald,111,,63,Paula,137
64=,Ewan,98,,64,Shirley,135
64=,Ryan,98,,65,Denise,128
66,Francis,97,,66,Melanie,126
67=,Bruce,96,,67,Patricia,123
67=,Patrick,96,,68=,Audrey,119
69=,Alastair,94,,68=,Ruth,119
69=,Bryan,94,,70,Jill,114
71,Marc,92,,71=,Lee,109
72,Jamie,88,,71=,Leigh,109
73,Hugh,86,,73,Catriona,107
74=,Euan,81,,74,Rachel,106
74=,Gerard,81,,75,Morag,102
76,Sean,77,,76,Kirsten,98
77,Wayne,76,,77,Kirsteen,97
78=,Adam,75,,78,Katrina,96
78=,Calum,75,,79,Joanna,94
80,Alasdair,72,,80,Lynsey,92
81,Robin,70,,81=,Cheryl,91
82,Greig,69,,81=,Debbie,91
83,Angus,67,,83,Maureen,90
84,Russell,64,,84,Janet,88
85,Cameron,58,,85=,Aileen,87
86,Roderick,56,,85=,Arlene,87
87,Norman,54,,85=,Zoe,87
88,Murray,52,,88,Lindsay,86
89,Gareth,50,,89,Stephanie,84
90=,Dean,49,,90,Judith,82
90=,Eric,49,,91,Mandy,79
92=,Adrian,46,,92=,Jillian,78
92=,Gregor,46,,92=,Mhairi,78
94,Samuel,44,,94=,Barbara,75
95,Gerald,42,,94=,Carolyn,75
96,Henry,39,,96=,Gayle,74
97,Justin,38,,96=,Maria,74
98,Benjamin,37,,96=,Valerie,74
99,Shaun,36,,99=,Christina,73
100=,Callum,35,,99=,Marion,73
100=,Campbell,35,,101,Frances,72
100=,Frank,35,,102,Michele,67
100=,Roy,35,,103,Lynda,66
100=,Timothy,35,,104=,Eileen,65
105=,Glen,32,,104=,Janice,65
105=,Marcus,32,,106=,Kathryn,61
107=,Hamish,31,,106=,Kim,61
107=,Niall,31,,108=,Allison,60
109,Barrie,30,,108=,Julia,60
