Babies' first forenames: births registered in Scotland in 2019,,,,,,
,,,,,,
"Information about the basis of the list can be found via the ""Babies' First Names"" page on the National Records of Scotland website",,,,,,
,,,,,,
Boys,,,,Girls,,
,,,,,,
Position,Name,Number of babies,,Position,Name,Number of babies
1,Jack,449,,1,Olivia,394
2,Oliver,359,,2,Emily,388
3,James,345,,3,Isla,364
4,Charlie,306,,4,Sophie,308
5,Harris,304,,5,Ella,284
6,Lewis,280,,6,Ava,278
7,Leo,278,,7,Amelia,275
8,Noah,272,,8,Grace,272
9,Alfie,261,,9,Freya,260
10,Rory,258,,10,Charlotte,243
11,Alexander,240,,11,Jessica,223
12,Max,237,,12,Lucy,222
13,Logan,235,,13,Ellie,219
14,Lucas,229,,14,Sophia,217
15,Harry,227,,15,Aria,216
16=,Theo,218,,16,Lily,203
16=,Thomas,218,,17,Harper,198
18,Brodie,205,,18,Mia,179
19,Archie,204,,19,Rosie,178
20,Jacob,203,,20,Millie,173
21=,Finlay,201,,21,Evie,164
21=,Finn,201,,22,Eilidh,162
23,Daniel,186,,23,Ruby,159
24,Joshua,180,,24,Willow,153
25,Oscar,175,,25,Anna,146
26,Arthur,170,,26,Maisie,142
27,Hunter,169,,27,Hannah,140
28=,Ethan,168,,28,Eva,137
28=,Mason,168,,29=,Chloe,127
30,Harrison,162,,29=,Mila,127
31,Freddie,157,,29=,Orla,127
32,Ollie,153,,32=,Isabella,126
33,Adam,151,,32=,Ivy,126
34,William,147,,34,Emma,125
35,Jaxon,146,,35,Georgia,124
36,Aaron,143,,36,Poppy,122
37,Cameron,140,,37,Robyn,118
38,Liam,139,,38,Daisy,111
39,George,131,,39,Zara,109
40,Jamie,129,,40=,Gracie,104
41,Callum,124,,40=,Holly,104
42,Matthew,122,,42,Skye,100
43,Muhammad,121,,43=,Esme,99
44,Caleb,115,,43=,Sofia,99
45,Nathan,114,,45,Erin,98
46,Tommy,113,,46,Hallie,97
47,Carter,112,,47,Molly,95
48,Blake,111,,48=,Ayla,93
49=,Andrew,110,,48=,Emilia,93
49=,Luke,110,,48=,Layla,93
51,Jude,108,,51,Katie,91
52=,Angus,104,,52,Sienna,90
52=,Riley,104,,53,Niamh,88
54=,Luca,103,,54,Alice,87
54=,Samuel,103,,55,Amber,86
56,Joseph,102,,56=,Bonnie,82
57,David,101,,56=,Maya,82
58,Isaac,100,,58,Zoe,79
59,Ryan,98,,59=,Ada,77
60,Hamish,97,,59=,Hollie,77
61,Sonny,96,,61,Bella,76
62=,Arlo,94,,62=,Luna,75
62=,Arran,94,,62=,Thea,75
62=,Cole,94,,64,Rose,74
65,Robert,93,,65,Abigail,73
66=,Blair,91,,66,Summer,72
66=,Dylan,91,,67,Callie,71
66=,Louie,91,,68,Hope,69
69,Ruaridh,90,,69,Lexi,67
70,Connor,89,,70,Iona,66
71=,Benjamin,88,,71,Elsie,65
71=,Kai,88,,72,Leah,63
73,Michael,87,,73,Scarlett,62
74=,Jackson,85,,74=,Julia,61
74=,Leon,85,,74=,Violet,61
76,Cooper,84,,76,Myla,60
77,Louis,82,,77,Harley,59
78,Theodore,81,,78=,Eve,58
79=,Fraser,80,,78=,Imogen,58
79=,Owen,80,,80,Elizabeth,57
79=,Reuben,80,,81,Cora,56
82,John,79,,82=,Florence,54
83=,Carson,77,,82=,Georgie,54
83=,Innes,77,,84,Lilly,53
85=,Elijah,74,,85=,Matilda,52
85=,Murray,74,,85=,Mirren,52
87,Grayson,73,,85=,Phoebe,52
88,Aiden,69,,88,Rowan,51
89,Aidan,68,,89,Lola,50
90=,Cody,67,,90,Aurora,49
90=,Elliot,67,,91,Evelyn,48
92=,Ben,66,,92=,Brooke,47
92=,Henry,66,,92=,Clara,47
94,Sam,64,,92=,Lucie,47
95=,Alex,63,,92=,Sadie,47
95=,Ellis,63,,96,Cara,46
97=,Gabriel,61,,97=,Darcy,45
97=,Jax,61,,97=,Nova,45
99,Callan,60,,97=,Penelope,45
100,Ruairidh,59,,100=,Abbie,44
101=,Frankie,58,,100=,Aila,44
101=,Lachlan,58,,100=,Ailsa,44
101=,Roman,58,,100=,Aoife,44
104=,Brody,57,,100=,Lottie,44
104=,Josh,57,,100=,Lyla,44
106,Sebastian,55,,100=,Maria,44
107,Struan,54,,107=,Alba,42
108=,Evan,53,,107=,Arya,42
108=,Kyle,53,,107=,Eden,42
